"","X1","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","dateout","datecoll","duration"
"91",134,"GuamRacetrackL3","Guam","race","L3","y","y","Diptera",0,2018-01-12,2018-01-15,3
"92",135,"GuamRacetrackL3","Guam","race","L3","w","b","Diptera",0,2018-01-12,2018-01-15,3
"93",138,"GuamRacetrackL3","Guam","race","L3","b","r","Diptera",0,2018-01-12,2018-01-15,3
"94",141,"GuamRacetrackL3","Guam","race","L3","w","w","Diptera",0,2018-01-12,2018-01-15,3
"95",142,"GuamRacetrackL3","Guam","race","L3","w","r","Diptera",0,2018-01-12,2018-01-15,3
"96",144,"GuamRacetrackL3","Guam","race","L3","r","w","Diptera",0,2018-01-12,2018-01-15,3
"97",145,"GuamRitiL1","Guam","riti","L1","w","b","Diptera",0,2018-01-12,2018-01-15,3
"98",146,"GuamRitiL1","Guam","riti","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3
"99",148,"GuamRitiL1","Guam","riti","L1","r","b","Diptera",0,2018-01-12,2018-01-15,3
"100",149,"GuamRitiL1","Guam","riti","L1","r","y","Diptera",0,2018-01-12,2018-01-15,3
"101",150,"GuamRitiL1","Guam","riti","L1","y","b","Diptera",0,2018-01-12,2018-01-15,3
"102",151,"GuamRitiL1","Guam","riti","L1","y","w","Diptera",0,2018-01-12,2018-01-15,3
"103",152,"GuamRitiL1","Guam","riti","L1","w","r","Diptera",0,2018-01-12,2018-01-15,3
"104",153,"GuamRitiL1","Guam","riti","L1","b","y","Diptera",0,2018-01-12,2018-01-15,3
"105",154,"GuamRitiL1","Guam","riti","L1","r","w","Diptera",0,2018-01-12,2018-01-15,3
"106",155,"GuamRitiL1","Guam","riti","L1","b","r","Diptera",0,2018-01-12,2018-01-15,3
"107",156,"GuamRitiL1","Guam","riti","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"108",157,"GuamRitiL1","Guam","riti","L1","y","r","Diptera",0,2018-01-12,2018-01-15,3
"109",158,"GuamRitiL1","Guam","riti","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3
"110",159,"GuamRitiL1","Guam","riti","L1","w","w","Diptera",0,2018-01-12,2018-01-15,3
"111",160,"GuamRitiL1","Guam","riti","L1","r","r","Diptera",0,2018-01-12,2018-01-15,3
"112",161,"GuamRitiL2","Guam","riti","L2","y","y","Diptera",0,2018-01-12,2018-01-15,3
"113",162,"GuamRitiL2","Guam","riti","L2","w","r","Diptera",0,2018-01-12,2018-01-15,3
"114",163,"GuamRitiL2","Guam","riti","L2","w","w","Diptera",0,2018-01-12,2018-01-15,3
"115",164,"GuamRitiL2","Guam","riti","L2","w","b","Diptera",0,2018-01-12,2018-01-15,3
"116",165,"GuamRitiL2","Guam","riti","L2","b","w","Diptera",0,2018-01-12,2018-01-15,3
"117",166,"GuamRitiL2","Guam","riti","L2","b","r","Diptera",0,2018-01-12,2018-01-15,3
"118",167,"GuamRitiL2","Guam","riti","L2","w","y","Diptera",0,2018-01-12,2018-01-15,3
"119",168,"GuamRitiL2","Guam","riti","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3
"120",169,"GuamRitiL2","Guam","riti","L2","b","y","Diptera",0,2018-01-12,2018-01-15,3
"121",170,"GuamRitiL2","Guam","riti","L2","y","w","Diptera",0,2018-01-12,2018-01-15,3
"122",171,"GuamRitiL2","Guam","riti","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3
"123",172,"GuamRitiL2","Guam","riti","L2","y","r","Diptera",0,2018-01-12,2018-01-15,3
"124",173,"GuamRitiL2","Guam","riti","L2","y","b","Diptera",0,2018-01-12,2018-01-15,3
"125",174,"GuamRitiL2","Guam","riti","L2","r","w","Diptera",0,2018-01-12,2018-01-15,3
"126",175,"GuamRitiL2","Guam","riti","L2","r","y","Diptera",0,2018-01-12,2018-01-15,3
"127",176,"GuamRitiL2","Guam","riti","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3
"128",177,"GuamRitiL3","Guam","riti","L3","r","r","Diptera",0,2018-01-12,2018-01-15,3
"129",178,"GuamRitiL3","Guam","riti","L3","y","r","Diptera",0,2018-01-12,2018-01-15,3
"130",180,"GuamRitiL3","Guam","riti","L3","b","y","Diptera",0,2018-01-12,2018-01-15,3
"131",181,"GuamRitiL3","Guam","riti","L3","r","w","Diptera",0,2018-01-12,2018-01-15,3
"132",182,"GuamRitiL3","Guam","riti","L3","y","w","Diptera",0,2018-01-12,2018-01-15,3
"133",183,"GuamRitiL3","Guam","riti","L3","b","w","Diptera",0,2018-01-12,2018-01-15,3
"134",184,"GuamRitiL3","Guam","riti","L3","b","b","Diptera",0,2018-01-12,2018-01-15,3
"135",185,"GuamRitiL3","Guam","riti","L3","r","b","Diptera",0,2018-01-12,2018-01-15,3
"136",186,"GuamRitiL3","Guam","riti","L3","y","b","Diptera",0,2018-01-12,2018-01-15,3
"137",187,"GuamRitiL3","Guam","riti","L3","w","r","Diptera",0,2018-01-12,2018-01-15,3
"138",188,"GuamRitiL3","Guam","riti","L3","w","b","Diptera",0,2018-01-12,2018-01-15,3
"139",189,"GuamRitiL3","Guam","riti","L3","r","y","Diptera",0,2018-01-12,2018-01-15,3
"140",190,"GuamRitiL3","Guam","riti","L3","y","y","Diptera",0,2018-01-12,2018-01-15,3
"141",191,"GuamRitiL3","Guam","riti","L3","w","w","Diptera",0,2018-01-12,2018-01-15,3
"142",192,"GuamRitiL3","Guam","riti","L3","w","y","Diptera",0,2018-01-12,2018-01-15,3
"143",193,"GuamSblasL1","Guam","sblas","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"144",195,"GuamSblasL1","Guam","sblas","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3
"145",196,"GuamSblasL1","Guam","sblas","L1","b","y","Diptera",0,2018-01-12,2018-01-15,3
"146",199,"GuamSblasL1","Guam","sblas","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3
"147",200,"GuamSblasL1","Guam","sblas","L1","y","y","Diptera",0,2018-01-12,2018-01-15,3
"148",201,"GuamSblasL1","Guam","sblas","L1","w","b","Diptera",0,2018-01-12,2018-01-15,3
"149",202,"GuamSblasL1","Guam","sblas","L1","r","b","Diptera",0,2018-01-12,2018-01-15,3
"150",205,"GuamSblasL1","Guam","sblas","L1","r","r","Diptera",0,2018-01-12,2018-01-15,3
"151",206,"GuamSblasL1","Guam","sblas","L1","r","w","Diptera",0,2018-01-12,2018-01-15,3
"152",208,"GuamSblasL1","Guam","sblas","L1","y","w","Diptera",0,2018-01-12,2018-01-15,3
"153",209,"GuamSblasL1","Guam","sblas","L1","r","y","Diptera",0,2018-01-12,2018-01-15,3
"154",210,"GuamSblasL1","Guam","sblas","L1","w","w","Diptera",0,2018-01-12,2018-01-15,3
"155",211,"GuamSblasL2","Guam","sblas","L2","r","y","Diptera",0,2018-01-12,2018-01-15,3
"156",212,"GuamSblasL2","Guam","sblas","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3
"157",213,"GuamSblasL2","Guam","sblas","L2","r","w","Diptera",0,2018-01-12,2018-01-15,3
"158",214,"GuamSblasL2","Guam","sblas","L2","r","r","Diptera",0,2018-01-12,2018-01-15,3
"159",215,"GuamSblasL2","Guam","sblas","L2","w","y","Diptera",0,2018-01-12,2018-01-15,3
"160",216,"GuamSblasL2","Guam","sblas","L2","w","b","Diptera",0,2018-01-12,2018-01-15,3
"161",217,"GuamSblasL2","Guam","sblas","L2","w","w","Diptera",0,2018-01-12,2018-01-15,3
"162",218,"GuamSblasL2","Guam","sblas","L2","b","y","Diptera",0,2018-01-12,2018-01-15,3
"163",219,"GuamSblasL2","Guam","sblas","L2","w","r","Diptera",0,2018-01-12,2018-01-15,3
"164",220,"GuamSblasL2","Guam","sblas","L2","b","w","Diptera",0,2018-01-12,2018-01-15,3
"165",221,"GuamSblasL2","Guam","sblas","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3
"166",222,"GuamSblasL2","Guam","sblas","L2","b","r","Diptera",0,2018-01-12,2018-01-15,3
"167",223,"GuamSblasL2","Guam","sblas","L2","y","y","Diptera",0,2018-01-12,2018-01-15,3
"168",224,"GuamSblasL2","Guam","sblas","L2","y","b","Diptera",0,2018-01-12,2018-01-15,3
"169",225,"GuamSblasL2","Guam","sblas","L2","y","w","Diptera",0,2018-01-12,2018-01-15,3
"170",226,"GuamSblasL2","Guam","sblas","L2","y","r","Diptera",0,2018-01-12,2018-01-15,3
"171",227,"GuamSblasL3","Guam","sblas","L3","w","w","Diptera",0,2018-01-12,2018-01-15,3
"172",228,"GuamSblasL3","Guam","sblas","L3","r","y","Diptera",0,2018-01-12,2018-01-15,3
"173",231,"GuamSblasL3","Guam","sblas","L3","r","b","Diptera",0,2018-01-12,2018-01-15,3
"174",232,"GuamSblasL3","Guam","sblas","L3","y","b","Diptera",0,2018-01-12,2018-01-15,3
"175",233,"GuamSblasL3","Guam","sblas","L3","y","y","Diptera",0,2018-01-12,2018-01-15,3
"176",237,"GuamSblasL3","Guam","sblas","L3","y","w","Diptera",0,2018-01-12,2018-01-15,3
"177",238,"GuamSblasL3","Guam","sblas","L3","b","y","Diptera",0,2018-01-12,2018-01-15,3
"178",239,"GuamSblasL3","Guam","sblas","L3","b","r","Diptera",0,2018-01-12,2018-01-15,3
"179",240,"GuamSblasL3","Guam","sblas","L3","b","w","Diptera",0,2018-01-12,2018-01-15,3
"180",241,"GuamSblasL3","Guam","sblas","L3","b","b","Diptera",0,2018-01-12,2018-01-15,3
"181",242,"GuamSblasL3","Guam","sblas","L3","y","r","Diptera",0,2018-01-12,2018-01-15,3
"182",262,"SaipanForbiAL2","Saipan","forbia","L2","y","r","Diptera",0,2018-01-17,2018-01-20,3
"183",313,"SaipanForbiGridL2","Saipan","forbig","L2","b","r","Diptera",0,2018-01-17,2018-01-20,3
"184",317,"SaipanForbiGridL2","Saipan","forbig","L2","w","r","Diptera",0,2018-01-17,2018-01-20,3
"185",318,"SaipanForbiGridL2","Saipan","forbig","L2","r","y","Diptera",0,2018-01-17,2018-01-20,3
"186",323,"SaipanForbiGridL3","Saipan","forbig","L3","y","y","Diptera",0,2018-01-17,2018-01-20,3
"187",325,"SaipanForbiGridL3","Saipan","forbig","L3","r","r","Diptera",0,2018-01-17,2018-01-20,3
"188",327,"SaipanForbiGridL3","Saipan","forbig","L3","b","y","Diptera",0,2018-01-17,2018-01-20,3
"189",333,"SaipanForbiGridL3","Saipan","forbig","L3","y","b","Diptera",0,2018-01-17,2018-01-20,3
"190",341,"SaipanLADTAL1","Saipan","ladta","L1","b","r","Diptera",0,2018-01-17,2018-01-20,3
"191",347,"SaipanLADTAL1","Saipan","ladta","L1","w","b","Diptera",0,2018-01-17,2018-01-20,3
"192",358,"SaipanLADTAL2","Saipan","ladta","L2","b","y","Diptera",0,2018-01-17,2018-01-20,3
"193",374,"SaipanLADTAL3","Saipan","ladta","L3","b","r","Diptera",0,2018-01-17,2018-01-20,3
"194",375,"SaipanLADTAL3","Saipan","ladta","L3","b","w","Diptera",0,2018-01-17,2018-01-20,3
"195",376,"SaipanLADTAL3","Saipan","ladta","L3","b","b","Diptera",0,2018-01-17,2018-01-20,3
"196",380,"SaipanLADTAL3","Saipan","ladta","L3","w","r","Diptera",0,2018-01-17,2018-01-20,3
"197",381,"SaipanLADTAL3","Saipan","ladta","L3","w","w","Diptera",0,2018-01-17,2018-01-20,3
"198",383,"SaipanLADTAL3","Saipan","ladta","L3","y","w","Diptera",0,2018-01-17,2018-01-20,3
"199",384,"SaipanLADTAL3","Saipan","ladta","L3","y","y","Diptera",0,2018-01-17,2018-01-20,3
"200",406,"SaipanMTRLL1","Saipan","mtrl","L1","r","y","Diptera",0,2018-01-17,2018-01-20,3
"201",415,"SaipanMTRLL1","Saipan","mtrl","L1","y","b","Diptera",0,2018-01-17,2018-01-20,3
"202",417,"SaipanMTRLL1","Saipan","mtrl","L1","y","r","Diptera",0,2018-01-17,2018-01-20,3
"203",420,"SaipanMTRLL2","Saipan","mtrl","L2","r","b","Diptera",0,2018-01-17,2018-01-20,3
"204",421,"SaipanMTRLL2","Saipan","mtrl","L2","r","y","Diptera",0,2018-01-17,2018-01-20,3
"205",423,"SaipanMTRLL2","Saipan","mtrl","L2","y","r","Diptera",0,2018-01-17,2018-01-20,3
"206",426,"SaipanMTRLL2","Saipan","mtrl","L2","b","r","Diptera",0,2018-01-17,2018-01-20,3
"207",428,"SaipanMTRLL2","Saipan","mtrl","L2","b","b","Diptera",0,2018-01-17,2018-01-20,3
"208",429,"SaipanMTRLL2","Saipan","mtrl","L2","b","y","Diptera",0,2018-01-17,2018-01-20,3
"209",430,"SaipanMTRLL2","Saipan","mtrl","L2","b","w","Diptera",0,2018-01-17,2018-01-20,3
"210",432,"SaipanMTRLL2","Saipan","mtrl","L2","y","w","Diptera",0,2018-01-17,2018-01-20,3
"211",436,"SaipanMTRLL3","Saipan","mtrl","L3","r","y","Diptera",0,2018-01-17,2018-01-20,3
"212",437,"SaipanMTRLL3","Saipan","mtrl","L3","b","b","Diptera",0,2018-01-17,2018-01-20,3
"213",438,"SaipanMTRLL3","Saipan","mtrl","L3","y","b","Diptera",0,2018-01-17,2018-01-20,3
"214",440,"SaipanMTRLL3","Saipan","mtrl","L3","w","r","Diptera",0,2018-01-17,2018-01-20,3
"215",442,"SaipanMTRLL3","Saipan","mtrl","L3","b","y","Diptera",0,2018-01-17,2018-01-20,3
"216",444,"SaipanMTRLL3","Saipan","mtrl","L3","r","w","Diptera",0,2018-01-17,2018-01-20,3
"217",445,"SaipanMTRLL3","Saipan","mtrl","L3","r","b","Diptera",0,2018-01-17,2018-01-20,3
"218",446,"SaipanMTRLL3","Saipan","mtrl","L3","w","b","Diptera",0,2018-01-17,2018-01-20,3
"219",448,"SaipanMTRLL3","Saipan","mtrl","L3","w","y","Diptera",0,2018-01-17,2018-01-20,3
"220",449,"GuamAnaoL1","Guam","anao","L1","b","y","Hemiptera",0,2018-01-12,2018-01-15,3
"221",450,"GuamAnaoL1","Guam","anao","L1","y","w","Hemiptera",0,2018-01-12,2018-01-15,3
"222",451,"GuamAnaoL1","Guam","anao","L1","y","b","Hemiptera",0,2018-01-12,2018-01-15,3
"223",452,"GuamAnaoL1","Guam","anao","L1","y","r","Hemiptera",0,2018-01-12,2018-01-15,3
"224",453,"GuamAnaoL1","Guam","anao","L1","w","b","Hemiptera",0,2018-01-12,2018-01-15,3
"225",454,"GuamAnaoL1","Guam","anao","L1","r","b","Hemiptera",0,2018-01-12,2018-01-15,3
"226",455,"GuamAnaoL1","Guam","anao","L1","w","y","Hemiptera",0,2018-01-12,2018-01-15,3
"227",456,"GuamAnaoL1","Guam","anao","L1","r","w","Hemiptera",0,2018-01-12,2018-01-15,3
"228",457,"GuamAnaoL1","Guam","anao","L1","b","b","Hemiptera",0,2018-01-12,2018-01-15,3
"229",458,"GuamAnaoL1","Guam","anao","L1","b","r","Hemiptera",0,2018-01-12,2018-01-15,3
"230",459,"GuamAnaoL1","Guam","anao","L1","b","w","Hemiptera",0,2018-01-12,2018-01-15,3
"231",460,"GuamAnaoL1","Guam","anao","L1","y","y","Hemiptera",0,2018-01-12,2018-01-15,3
"232",461,"GuamAnaoL1","Guam","anao","L1","w","w","Hemiptera",0,2018-01-12,2018-01-15,3
"233",462,"GuamAnaoL1","Guam","anao","L1","w","r","Hemiptera",0,2018-01-12,2018-01-15,3
"234",463,"GuamAnaoL1","Guam","anao","L1","r","r","Hemiptera",0,2018-01-12,2018-01-15,3
"235",464,"GuamAnaoL1","Guam","anao","L1","r","y","Hemiptera",0,2018-01-12,2018-01-15,3
"236",465,"GuamAnaoL2","Guam","anao","L2","b","y","Hemiptera",0,2018-01-12,2018-01-15,3
"237",466,"GuamAnaoL2","Guam","anao","L2","b","b","Hemiptera",0,2018-01-12,2018-01-15,3
"238",467,"GuamAnaoL2","Guam","anao","L2","r","b","Hemiptera",0,2018-01-12,2018-01-15,3
"239",468,"GuamAnaoL2","Guam","anao","L2","y","y","Hemiptera",0,2018-01-12,2018-01-15,3
"240",469,"GuamAnaoL2","Guam","anao","L2","b","r","Hemiptera",0,2018-01-12,2018-01-15,3
"241",470,"GuamAnaoL2","Guam","anao","L2","r","w","Hemiptera",0,2018-01-12,2018-01-15,3
"242",471,"GuamAnaoL2","Guam","anao","L2","w","y","Hemiptera",0,2018-01-12,2018-01-15,3
"243",472,"GuamAnaoL2","Guam","anao","L2","b","w","Hemiptera",0,2018-01-12,2018-01-15,3
"244",473,"GuamAnaoL2","Guam","anao","L2","y","b","Hemiptera",0,2018-01-12,2018-01-15,3
"245",474,"GuamAnaoL2","Guam","anao","L2","y","w","Hemiptera",0,2018-01-12,2018-01-15,3
"246",475,"GuamAnaoL2","Guam","anao","L2","w","r","Hemiptera",0,2018-01-12,2018-01-15,3
"247",476,"GuamAnaoL2","Guam","anao","L2","w","b","Hemiptera",0,2018-01-12,2018-01-15,3
"248",477,"GuamAnaoL2","Guam","anao","L2","r","y","Hemiptera",0,2018-01-12,2018-01-15,3
"249",478,"GuamAnaoL2","Guam","anao","L2","w","w","Hemiptera",0,2018-01-12,2018-01-15,3
"250",479,"GuamAnaoL2","Guam","anao","L2","r","r","Hemiptera",0,2018-01-12,2018-01-15,3
"251",480,"GuamAnaoL2","Guam","anao","L2","y","r","Hemiptera",0,2018-01-12,2018-01-15,3
"252",481,"GuamAnaoL3","Guam","anao","L3","y","y","Hemiptera",0,2018-01-12,2018-01-15,3
"253",482,"GuamAnaoL3","Guam","anao","L3","y","w","Hemiptera",0,2018-01-12,2018-01-15,3
"254",483,"GuamAnaoL3","Guam","anao","L3","y","b","Hemiptera",0,2018-01-12,2018-01-15,3
"255",484,"GuamAnaoL3","Guam","anao","L3","b","b","Hemiptera",0,2018-01-12,2018-01-15,3
"256",485,"GuamAnaoL3","Guam","anao","L3","r","r","Hemiptera",0,2018-01-12,2018-01-15,3
"257",486,"GuamAnaoL3","Guam","anao","L3","w","b","Hemiptera",0,2018-01-12,2018-01-15,3
"258",487,"GuamAnaoL3","Guam","anao","L3","y","r","Hemiptera",0,2018-01-12,2018-01-15,3
